"If  $\frac{-10}{\left( x  + 8\right) \left( x -10\right) \left( x  + 6\right)} = \frac{A}{(x+8)} + \frac{B}{(x-10)} + \frac{C}{(x+6)}$  , then find the value of A and B",4,"$-\frac{3}{86}, \frac{5}{16}$","$-\frac{5}{18}, -\frac{3}{86}$","$-\frac{5}{18}, -\frac{5}{16}$","$-\frac{5}{18}, \frac{5}{16}$",2,Rearrange the equation in the form $-10 = A(x-10)(x+6) + B(x+8)(x+6) + C(x+8)(x-10)$,Substitute the values of x such that terms C and B are removed from the equation to get A. Similarly substitute a different value of x to get the value of B,"Based on the above hint , you need to substitute the value of x = -8 to get the value of A Similarly substituting the value of x = 10 will get you the value of B",7,1,You've got one of the coefficients correct i.e. VALUE OF B but the second coefficient is incorrect. Let's try the next one,Your answer is correct! Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF A but the second coefficient is incorrect. Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF A but the second coefficient is incorrect. Let's try the next one
"If  $\frac{5x }{\left( x -5\right) \left( x  + 9\right) \left( x  + 4\right)} = \frac{A}{(x-5)} + \frac{B}{(x+9)} + \frac{C}{(x+4)}$  , then find the value of A and B",4,"$\frac{19}{96}, -\frac{4}{9}$","$\frac{19}{96}, \frac{4}{9}$","$\frac{19}{96}, -\frac{9}{14}$","$-\frac{9}{14}, \frac{4}{9}$",3,Rearrange the equation in the form $5x  = A(x+9)(x+4) + B(x-5)(x+4) + C(x-5)(x+9)$,Substitute the values of x such that terms C and B are removed from the equation to get A. Similarly substitute a different value of x to get the value of B,"Based on the above hint , you need to substitute the value of x = 5 to get the value of A Similarly substituting the value of x = -9 will get you the value of B",7,1,You've got one of the coefficients correct i.e. VALUE OF A but the second coefficient is incorrect. Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF A but the second coefficient is incorrect. Let's try the next one,Your answer is correct! Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF B but the second coefficient is incorrect. Let's try the next one
"If  $\frac{3x^{2}  + 3}{\left( x -8\right)\left(x^{2}-11 x  + 28\right)}$  can be resolved to partial fractions, which of the following options contains the correct coefficients of its partial fractions",4,"$50, -\frac{195}{4}$","$\frac{195}{4}, 50$","$\frac{195}{4}, 27$","$\frac{195}{4}, -50$",4,Ensure that the denominator of the expression is factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form $3x^{2}  + 3 = A(x-4)(x-7) + B(x-8)(x-7) + C(x-8)(x-4)$,Substitute the value of x such that any two of the three terms of the equation shown in the previous hint are removed to get one coefficient. Repeat this step with appropriate values of x to find the coefficients of the other two terms as well,7,2,Unfortunately both the coefficients in the selected answer are incorrect. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF A but the second coefficient is incorrect. Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF A but the second coefficient is incorrect. Let's try the next one
"If  $\frac{2x^{2} }{\left( x -9\right)\left(x^{2} + 11 x -12\right)}$  can be resolved to partial fractions, which of the following options contains the correct coefficients of its partial fractions",4,"$\frac{27}{28}, \frac{96}{91}$","$\frac{96}{91}, 27$","$-\frac{27}{28}, -\frac{96}{91}$","$\frac{96}{91}, \frac{1}{52}$",1,Ensure that the denominator of the expression is factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form $2x^{2}  = A(x-1)(x+12) + B(x-9)(x+12) + C(x-9)(x-1)$,Substitute the value of x such that any two of the three terms of the equation shown in the previous hint are removed to get one coefficient. Repeat this step with appropriate values of x to find the coefficients of the other two terms as well,7,2,Your answer is correct! Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF C but the second coefficient is incorrect. Let's try the next one,Unfortunately both the coefficients in the selected answer are incorrect. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one
"If  $\frac{10x^{2} }{\left( x  + 5\right)\left(x^{2}-2 x -15\right)}$  can be resolved to partial fractions, which of the following options contains the correct coefficients of its partial fractions",4,"$\frac{25}{2}, 27$","$-\frac{45}{8}, \frac{25}{8}$","$\frac{25}{8}, -\frac{25}{2}$","$\frac{45}{8}, -\frac{25}{8}$",2,Ensure that the denominator of the expression is factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form $10x^{2}  = A(x-5)(x+3) + B(x+5)(x+3) + C(x+5)(x-5)$,Substitute the value of x such that any two of the three terms of the equation shown in the previous hint are removed to get one coefficient. Repeat this step with appropriate values of x to find the coefficients of the other two terms as well,7,2,You've got one of the coefficients correct i.e. VALUE OF A but the second coefficient is incorrect. Let's try the next one,Your answer is correct! Let's try the next one,Unfortunately both the coefficients in the selected answer are incorrect. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one
"If $\frac{-x^{2} }{\left( x^{3} -133 x  + 132\right)}$  can be resolved to partial fractions, which of the following options contains the correct coefficients of its partial fractions",4,"$\frac{13}{27}, -\frac{1}{100}$","$-\frac{13}{27}, -\frac{10}{19}$","$\frac{1}{100}, 27$","$-\frac{10}{19}, \frac{13}{27}$",2,Ensure that the denominator of the expression is factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form $-x^{2}  = A(x-1)(x+12) + B(x-11)(x+12) + C(x-11)(x-1)$,Substitute the value of x such that any two of the three terms of the equation shown in the previous hint are removed to get one coefficient. Repeat this step with appropriate values of x to find the coefficients of the other two terms as well,7,3,Unfortunately both the coefficients in the selected answer are incorrect. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,Your answer is correct! Let's try the next one,Unfortunately both the coefficients in the selected answer are incorrect. Let's try the next one
"If $\frac{-10x^{2} -8x }{\left( x^{3} -11 x^{2}  + 34 x -24\right)}$  can be resolved to partial fractions, which of the following options contains the correct coefficients of its partial fractions",4,"$\frac{204}{5}, \frac{6}{5}$","$32, \frac{6}{5}$","$32, -\frac{204}{5}$","$-\frac{204}{5}, 27$",3,Ensure that the denominator of the expression is factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form $-10x^{2} -8x  = A(x-4)(x-6) + B(x-1)(x-6) + C(x-1)(x-4)$,Substitute the value of x such that any two of the three terms of the equation shown in the previous hint are removed to get one coefficient. Repeat this step with appropriate values of x to find the coefficients of the other two terms as well,7,3,Unfortunately both the coefficients in the selected answer are incorrect. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,Unfortunately both the coefficients in the selected answer are incorrect. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one
"If $\frac{x^{2} }{\left( x^{3} -4 x^{2} -116 x  + 240\right)}$  can be resolved to partial fractions, which of the following options contains the correct coefficients of its partial fractions",4,"$\frac{36}{55}, 27$","$-\frac{25}{66}, -\frac{36}{55}$","$-\frac{1}{30}, -\frac{36}{55}$","$\frac{25}{66}, \frac{36}{55}$",4,Ensure that the denominator of the expression is factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form $x^{2}  = A(x-2)(x-12) + B(x+10)(x-12) + C(x+10)(x-2)$,Substitute the value of x such that any two of the three terms of the equation shown in the previous hint are removed to get one coefficient. Repeat this step with appropriate values of x to find the coefficients of the other two terms as well,7,3,You've got one of the coefficients correct i.e. VALUE OF C but the second coefficient is incorrect. Let's try the next one,Unfortunately both the coefficients in the selected answer are incorrect. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,Unfortunately both the coefficients in the selected answer are incorrect. Let's try the next one
"If $\frac{-10}{\left( x^{3} -7 x^{2} -33 x  + 135\right)}$  can be resolved to partial fractions, which of the following options contains the correct coefficients of its partial fractions",4,"$\frac{5}{42}, -\frac{5}{24}$","$-\frac{5}{56}, -\frac{5}{42}$","$-\frac{5}{42}, \frac{5}{56}$","$\frac{5}{24}, 27$",2,Ensure that the denominator of the expression is factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form $-10 = A(x+5)(x-3) + B(x-9)(x-3) + C(x-9)(x+5)$,Substitute the value of x such that any two of the three terms of the equation shown in the previous hint are removed to get one coefficient. Repeat this step with appropriate values of x to find the coefficients of the other two terms as well,7,3,Unfortunately both the coefficients in the selected answer are incorrect. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,Your answer is correct! Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF A but the second coefficient is incorrect. Let's try the next one
"If $\frac{x^{2} }{\left( x^{3}  + 24 x^{2}  + 188 x  + 480\right)}$  can be resolved to partial fractions, which of the following options contains the correct coefficients of its partial fractions",4,"$\frac{9}{2}, 27$","$\frac{25}{2}, -\frac{9}{2}$","$-\frac{9}{2}, -\frac{25}{2}$","$\frac{9}{2}, -16$",4,Ensure that the denominator of the expression is factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form $x^{2}  = A(x+8)(x+10) + B(x+6)(x+10) + C(x+6)(x+8)$,Substitute the value of x such that any two of the three terms of the equation shown in the previous hint are removed to get one coefficient. Repeat this step with appropriate values of x to find the coefficients of the other two terms as well,7,3,You've got one of the coefficients correct i.e. VALUE OF A but the second coefficient is incorrect. Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF C but the second coefficient is incorrect. Let's try the next one,Unfortunately both the coefficients in the selected answer are incorrect. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one
"If  $\frac{-11x^{2} -7x -12}{\left( x -7\right) \left( x  + 11\right) \left( x  + 11\right)} = \frac{A}{(x-7)} + \frac{B}{(x+11)} + \frac{C}{(x+11)^2}$  , then find the value of A and B",4,"$-\frac{247}{27}, \frac{211}{3}$","$\frac{211}{3}, \frac{50}{27}$","$-\frac{50}{27}, -\frac{247}{27}$","$-\frac{50}{27}, \frac{211}{3}$",3,Rearrange the equation in the form $-11x^{2} -7x -12 = A(x+11)(x+11) + B(x-7)(x+11) + C(x-7)$,Substitute the value of x such that terms B and C are removed from the equation to get A. Now use this value of A in the equation and substitute a new value of x to derive the value of C.  Use the values of A and C in equation 1 to derive the value of B,"Based on the above hint , you need to substitute the value of x = 7 to get the value of A . Substitute the value of A in the equation and put x = -11 to get the value of C.Now put the values of A and C in the equation to get the value of B ",7,1,You've got one of the coefficients correct i.e. VALUE OF B but the second coefficient is incorrect. Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF C but the second coefficient is incorrect. Let's try the next one,Your answer is correct! Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF A but the second coefficient is incorrect. Let's try the next one
